#=== laboratory ================================================================================================================
#                 name
#  
LABORATORY        "JLab" 
#===============================================================================================================================

#=== collaboration =============================================================================================================
#                 name
#
COLLABORATION     "CLAS"
#===============================================================================================================================
   
#=== experiment ================================================================================================================
#                 year        process                         type                 reference
#
EXPERIMENT        "2015"      "e + p -> e + p + gamma"        "fixed target"       "Phys. Rev. D91, 052014 (2015)"
#===============================================================================================================================
 
#==== data ======================================================================================================================
# bin        xB         t        Q2     Ebeam       phi      obs.     value     stat-     stat+      sys-      sys+   err_tot
#
    5   0.24500  -0.24000   1.80000   5.93200 199.00000       Alu   0.02000   0.06000   0.06000   0.01000   0.01000   0.06083
    5   0.24200  -0.23000   1.97000   5.93200 235.00000       Alu  -0.11000   0.06000   0.06000   0.01000   0.01000   0.06083
    5   0.24800  -0.23000   2.01000   5.93200 270.00000       Alu  -0.31000   0.04000   0.04000   0.01000   0.01000   0.04123
    5   0.26800  -0.23000   2.14000   5.93200 307.00000       Alu  -0.28000   0.04000   0.04000   0.02000   0.02000   0.04472
    5   0.27700  -0.22000   2.21000   5.93200 340.00000       Alu  -0.05000   0.04000   0.04000   0.01000   0.01000   0.04123
    6   0.28600  -0.40000   2.34000   5.93200  26.00000       Alu   0.22000   0.16000   0.16000   0.01000   0.01000   0.16031
    6   0.27600  -0.45000   2.20000   5.93200  56.00000       Alu   0.21000   0.06000   0.06000   0.02000   0.02000   0.06325
    6   0.25400  -0.44000   2.04000   5.93200  90.00000       Alu   0.14000   0.06000   0.06000   0.01000   0.01000   0.06083
    6   0.25500  -0.45000   1.82000   5.93200 127.00000       Alu   0.08000   0.06000   0.06000   0.04000   0.04000   0.07211
    6   0.25200  -0.48000   1.73000   5.93200 163.00000       Alu   0.06000   0.04000   0.04000   0.01000   0.01000   0.04123
    6   0.25400  -0.47000   1.74000   5.93200 197.00000       Alu   0.02000   0.05000   0.05000   0.01000   0.01000   0.05099
    6   0.25100  -0.44000   1.88000   5.93200 233.00000       Alu  -0.13000   0.07000   0.07000   0.02000   0.02000   0.07280
    6   0.25300  -0.46000   1.99000   5.93200 271.00000       Alu  -0.20000   0.05000   0.05000   0.03000   0.03000   0.05831
    6   0.27400  -0.45000   2.20000   5.93200 303.00000       Alu  -0.30000   0.06000   0.06000   0.03000   0.03000   0.06708
    6   0.28700  -0.40000   2.36000   5.93200 334.00000       Alu  -0.21000   0.12000   0.12000   0.03000   0.03000   0.12369
    7   0.26100  -1.41000   2.03000   5.93200  17.00000       Alu  -0.04000   0.05000   0.05000   0.02000   0.02000   0.05385
    7   0.25800  -1.12000   1.98000   5.93200  54.00000       Alu   0.10000   0.06000   0.06000   0.02000   0.02000   0.06325
    7   0.25600  -1.18000   1.78000   5.93200  87.00000       Alu   0.05000   0.07000   0.07000   0.03000   0.03000   0.07616
    7   0.26100  -1.13000   1.82000   5.93200 128.00000       Alu   0.14000   0.09000   0.09000   0.03000   0.03000   0.09487
    7   0.25200  -1.03000   1.79000   5.93200 164.00000       Alu   0.03000   0.05000   0.05000   0.01000   0.01000   0.05099
    7   0.25400  -1.03000   1.78000   5.93200 195.00000       Alu  -0.03000   0.07000   0.07000   0.02000   0.02000   0.07280
    7   0.25700  -1.23000   1.84000   5.93200 238.00000       Alu  -0.05000   0.08000   0.08000   0.02000   0.02000   0.08246
    7   0.25700  -1.14000   1.75000   5.93200 270.00000       Alu  -0.02000   0.05000   0.05000   0.02000   0.02000   0.05385
    7   0.26000  -1.12000   2.01000   5.93200 307.00000       Alu  -0.07000   0.07000   0.07000   0.01000   0.01000   0.07071
    7   0.26100  -1.40000   2.03000   5.93200 343.00000       Alu   0.00000   0.04000   0.04000   0.01000   0.01000   0.04123
    8   0.26500  -0.13000   2.45000   5.93200  20.00000       Alu  -0.02000   0.04000   0.04000   0.01000   0.01000   0.04123
    8   0.25300  -0.14000   2.36000   5.93200  53.00000       Alu   0.07000   0.05000   0.05000   0.02000   0.02000   0.05385
    8   0.24900  -0.14000   2.32000   5.93200  88.00000       Alu   0.17000   0.05000   0.05000   0.01000   0.01000   0.05099
    8   0.24600  -0.14000   2.30000   5.93200 125.00000       Alu   0.20000   0.08000   0.08000   0.02000   0.02000   0.08246
    8   0.24200  -0.14000   2.26000   5.93200 162.00000       Alu   0.20000   0.10000   0.10000   0.03000   0.03000   0.10440
    8   0.24200  -0.14000   2.27000   5.93200 199.00000       Alu  -0.07000   0.09000   0.09000   0.04000   0.04000   0.09849
    8   0.24300  -0.14000   2.28000   5.93200 237.00000       Alu  -0.29000   0.07000   0.07000   0.02000   0.02000   0.07280
    8   0.24800  -0.14000   2.32000   5.93200 271.00000       Alu  -0.22000   0.06000   0.06000   0.02000   0.02000   0.06325
    8   0.25300  -0.14000   2.36000   5.93200 307.00000       Alu  -0.14000   0.04000   0.04000   0.01000   0.01000   0.04123
    8   0.26500  -0.14000   2.45000   5.93200 340.00000       Alu  -0.01000   0.05000   0.05000   0.02000   0.02000   0.05385
    9   0.28100  -0.22000   2.57000   5.93200  24.00000       Alu   0.03000   0.08000   0.08000   0.02000   0.02000   0.08246
    9   0.26900  -0.23000   2.50000   5.93200  53.00000       Alu   0.11000   0.05000   0.05000   0.02000   0.02000   0.05385
    9   0.25800  -0.23000   2.40000   5.93200  90.00000       Alu   0.19000   0.06000   0.06000   0.02000   0.02000   0.06325
    9   0.25200  -0.23000   2.35000   5.93200 126.00000       Alu   0.16000   0.09000   0.09000   0.02000   0.02000   0.09220
    9   0.25400  -0.23000   2.36000   5.93200 161.00000       Alu   0.10000   0.10000   0.10000   0.03000   0.03000   0.10440
    9   0.25400  -0.23000   2.37000   5.93200 199.00000       Alu   0.02000   0.09000   0.09000   0.02000   0.02000   0.09220
    9   0.25400  -0.23000   2.36000   5.93200 236.00000       Alu  -0.17000   0.08000   0.08000   0.02000   0.02000   0.08246
    9   0.26000  -0.23000   2.42000   5.93200 270.00000       Alu  -0.23000   0.06000   0.06000   0.03000   0.03000   0.06708
    9   0.26600  -0.23000   2.48000   5.93200 308.00000       Alu  -0.15000   0.05000   0.05000   0.02000   0.02000   0.05385
    9   0.27900  -0.22000   2.56000   5.93200 336.00000       Alu  -0.01000   0.07000   0.07000   0.01000   0.01000   0.07071
   10   0.28400  -0.41000   2.60000   5.93200  31.00000       Alu  -0.18000   0.22000   0.22000   0.09000   0.09000   0.23770
   10   0.27500  -0.44000   2.55000   5.93200  52.00000       Alu   0.17000   0.06000   0.06000   0.01000   0.01000   0.06083
   10   0.26400  -0.44000   2.45000   5.93200  91.00000       Alu   0.20000   0.07000   0.07000   0.02000   0.02000   0.07280
   10   0.25400  -0.44000   2.37000   5.93200 122.00000       Alu   0.23000   0.10000   0.10000   0.03000   0.03000   0.10440
   10   0.25000  -0.41000   2.33000   5.93200 159.00000       Alu  -0.15000   0.13000   0.13000   0.04000   0.04000   0.13601
   10   0.25300  -0.41000   2.36000   5.93200 199.00000       Alu  -0.02000   0.12000   0.12000   0.04000   0.04000   0.12649
   10   0.25400  -0.43000   2.36000   5.93200 235.00000       Alu  -0.28000   0.10000   0.10000   0.03000   0.03000   0.10440
   10   0.26100  -0.45000   2.43000   5.93200 270.00000       Alu  -0.26000   0.07000   0.07000   0.02000   0.02000   0.07280
