453	482	514					
673	783						
80	83	88					
6	7	227	292	644	703		
120	156	245	772				
4	18	68	795				
5	66	98	101				
12	20	40	796				
11	23	24	30	107			
14	27	34	65	89			
35	43	51	54	61			
14	16	19	65	731			
29	32	108	110	203	247	251	
29	32	45	90	93	229		
46	55	99	100	255			
6	7	27	28	65	731		
12	13	20	33	34	89	109	
18	22	26	44	70	795		
6	21	28	227	793			
24	30	36	51	55	61	99	
33	93	100	109	229	255	792	
16	19	32	45	108	794		
11	22	26	30	35	61		
1	68	70	795				
26	35	39	42	43	44	74	
39	66	74	75	101	124		
1	37	64	68				
9	15	56	60	62	115	116	771
15	50	56	94	118	123	769	
2	94	97	123	143			
17	41	47	62	115			
17	39	43	47	54	124		
9	36	46	55	92	771		
57	59	111	112	117	244		
48	98	102	119				
9	36	47	51	54	62		
37	38	73	85				
78	80	84	774	776			
5	66	67	75	79			
1	25	42	44	64	69	70	
25	37	53	63	64	73		
25	63	69	71	775			
53	73	77	81	85			
42	67	69	71	74	75		
5	76	78	79				
67	71	76	79	82	775		
38	72	81	85	86			
38	72	83	87				
72	80	84	86	87	88		
77	81	84	86	774			
83	87	88					
13	23	24	99	100	109		
10	103	113	141	205			
46	92	95	255	770	792		
49	50	96	97	123	213		
97	112	117	143	213	773		
7	12	27	89	796			
2	94	118	119				
52	60	95	103	113	116	770	
58	59	160	208	211	244		
13	20	23	40	107	797		
14	16	33	34	45	93		
8	49	96	104	114			
8	52	103	104	141	214		
17	41	48	98	101	124		
58	96	112	114	213	244		
8	49	50	52	56	116		
57	111	120	156	159	406		
2	143	772	773				
155	168	183	459	474			
133	347	366	384	387	479		
166	195	198	536	537	661		
200	254	325	329	334	402		
326	643	728	730	761			
273	308	316	522	580	600	619	
173	284	318	577	664	666		
252	261	275	363	559	591	650	
122	159	187	223	279	406		
457	464	473	475	502	518		
122	127	145	231	279	535		
174	220	240	314	777			
3	157	241	403	541			
0	299	313	388	410	424		
146	252	265	405	521	591		
139	170	239	243	407	660		
156	159	187	245	280			
59	111	122	145	160	406		
121	197	238	404	531	540		
338	368	378	396	436	549		
183	240	272	533				
155	168	170	476	495	660		
125	139	169	194	239			
140	164	190	276	339	409		
155	169	183	239	272	660		
171	342	357	371	397	398		
157	238	241	383	400	540		
147	195	223	279	535	536		
180	249	362	546	564			
217	220	245	280				
277	455	460	463	468	744		
179	254	288	334	355	668		
148	190	276	282	302	408		
186	389	429	441	450			
142	185	218	228	263	278		
150	173	200	402	577			
149	151	164	167	344	409	539	
199	234	259	289	307	324		
204	206	207	215	233	235		
91	110	203	204	230	235		
141	202	204	205	206	214	230	
202	206	207	208	211	212		
163	209	210	216	232	242		
145	160	163	211	212	216	231	
58	104	114	202	208	214		
207	209	212	215	216			
3	148	185	188	218	302	403	
140	190	354	365	386	408		
161	446	461	462	473	518		
125	128	162	194	344	539		
225	257	303	304	383	400		
31	236	248	250	260			
10	29	90	110	205	230		
106	127	163	231	232			
199	209	210	215	233	234		
91	199	233	235	236	248	289	
129	210	225	234	242	257	259	
121	129	225	238	383	532		
106	129	182	232	242	532		
170	222	322	407	458	476		
149	295	339	409	538			
91	203	248	250	251			
21	256	290	720	724	732	793	
31	247	250	251	256	290	719	
105	135	293	294	298	311		
108	247	256	732	794			
135	253	257	259	294	304	324	
134	137	298	301	311			
438	440	582	583	614	670		
319	335	358	393	418	430	432	
178	330	349	354	377	386		
146	315	521	573	574			
305	373	390	397	398			
217	220	314	537	661			
172	192	297	309	336	356	653	
180	284	318	361	560	564	652	
193	249	300	306	310	411	546	
133	140	221	295	339	365	366	
147	195	198	404	531	534		
184	467	484	707	739			
310	338	368	394	411	544		
171	350	371	385	415	422	435	
236	237	260	289	307	700		
226	340	550	571	585	616		
642	656	725	727				
273	308	405	552	559	591		
158	281	622					
31	237	260	701	717	719		
105	135	253	287	321	699		
3	157	188	303	312	400		
177	293	294	303	304	312		
132	134	179	288	301	332		
161	346	426	437	457	473		
150	173	180	318	333	362	369	
132	177	228	263	293	301	311	
177	185	188	263	312			
130	284	336	560	653	664		
221	222	243	295	407	538		
300	305	306	390	416			
132	228	271	278	320	332		
253	307	321	324	700			
153	573	574	612	641	647	648	
134	137	262	266	288	323	668	
609	611	643	646	704	728		
172	326	356	581	643	646		
370	446	460	462	463			
0	138	313	329	334	355		
224	282	283	349	386	408		
325	402	577	666	667			
181	271	274	320	401			
152	171	299	342	410	435		
133	221	222	322	384			
0	150	152	200	329	369	410	
269	283	285	349	377			
286	350	357	371	391			
345	359	423	433	451			
270	347	351	387	414	426	437	
319	430	439	444	737			
249	306	333	362	373	390		
196	286	350	360	364	385		
154	176	181	264	401	428		
267	372	415	418	422	432		
267	299	388	422	435			
191	196	286	367	376	391	427	745
345	443	448	451	588			
360	372	385	415	486			
277	444	455	737	784	786		
389	417	441	465	613	614	670	
305	357	376	391	396	397	416	436
142	181	224	264	269	278	283	320
319	372	418	439	486	742		
152	333	342	369	373	398		
277	370	393	399	430	444	463	
126	381	392	412	447			
138	154	274	313	401	424		
178	270	330	412	414	447		
300	368	396	411	416			
138	179	271	274	332	355		
142	148	218	224	282			
193	275	291	310	544	552	559	
265	308	405	520	522			
151	164	276	302	403	541		
128	166	167	197	198	344	404	
262	266	317	375	665	669		
176	335	358	380	428	442		
161	346	370	381	392	399	446	
433	753	754	759				
178	270	354	365	366	387		
193	275	361	363	546	564		
191	367	529	586	595	751	755	
353	367	374	427	529			
264	269	285	428	442			
196	364	745	749	767			
353	376	427	436	549			
154	176	267	335	388	424	432	
420	576	595	751	752	757		
738	746	759					
186	189	450	469	543			
268	423	451	572	588			
352	443	448	452				
440	445	583	584	618	708		
189	226	417	441	450	616		
186	352	429	448	469	572	588	
352	389	429	452	527	613	672	
126	285	330	377	380	412	442	
126	358	380	392	393	399		
346	381	414	437	447			
144	184	477	484	500			
175	322	337	384	458	479	489	
474	507	509	511	512			
168	459	491	495				
144	460	461	462	468	500		
431	438	583	604	691	708		
382	468	484	500	707	736	744	
359	425	433	753				
454	472	492	503	510	790		
351	426	456	457	475	747		
459	474	491	494	512	513		
464	481	483	487	502	517		
347	351	456	479	489			
498	499	504	789				
454	478	482	503	514			
453	472	482	503				
480	488	490	496	506	791		
337	456	488	489	496	515	747	
434	490	493	494	506	513		
175	337	488	490	493			
175	458	476	491	493	494	495	
464	475	481	515	747			
497	499	501	504				
471	487	516	517	787	788		
483	485	487	497	499	516	789	
505	509	510	511	790			
