Triangle0	175	181	82	
Triangle1	39	26	23	
Triangle2	29	68	57	
Triangle3	115	81	158	
Triangle4	5	423	424	
Triangle5	44	38	6	
Triangle6	18	15	3	
Triangle7	56	3	15	
Triangle8	62	66	63	
Triangle9	27	35	32	
Triangle10	52	421	121	
Triangle11	424	8	22	
Triangle12	16	7	56	
Triangle13	16	51	60	
Triangle14	9	11	61	
Triangle15	404	27	28	
Triangle16	21	61	11	
Triangle17	31	30	64	
Triangle18	5	424	17	
Triangle19	422	21	11	
Triangle20	7	16	60	
Triangle21	131	18	335	
Triangle22	22	17	424	
Triangle23	51	8	60	
Triangle24	51	19	8	
Triangle25	39	41	40	
Triangle26	22	24	17	
Triangle27	15	9	56	
Triangle28	422	15	18	
Triangle29	12	121	13	
Triangle30	22	8	19	
Triangle31	132	156	120	
Triangle32	13	21	12	
Triangle33	20	16	61	
Triangle34	16	9	61	
Triangle35	24	22	10	
Triangle36	35	19	32	
Triangle37	36	26	40	
Triangle38	47	36	46	
Triangle39	25	24	31	
Triangle40	7	60	423	
Triangle41	64	30	404	
Triangle42	43	39	24	
Triangle43	31	24	10	
Triangle44	39	17	24	
Triangle45	21	13	61	
Triangle46	14	53	32	
Triangle47	31	35	30	
Triangle48	34	64	404	
Triangle49	62	54	66	
Triangle50	66	54	28	
Triangle51	35	10	19	
Triangle52	58	63	66	
Triangle53	408	42	40	
Triangle54	35	31	10	
Triangle55	19	14	32	
Triangle56	27	66	28	
Triangle57	33	67	406	
Triangle58	65	113	59	
Triangle59	33	59	86	
Triangle60	405	58	27	
Triangle61	10	22	19	
Triangle62	27	30	35	
Triangle63	40	41	408	
Triangle64	26	39	40	
Triangle65	15	11	9	
Triangle66	6	38	25	
Triangle67	45	43	38	
Triangle68	26	5	23	
Triangle69	43	41	39	
Triangle70	23	17	39	
Triangle71	41	43	45	
Triangle72	48	47	46	
Triangle73	36	40	42	
Triangle74	25	43	24	
Triangle75	38	43	25	
Triangle76	407	45	44	
Triangle77	408	49	42	
Triangle78	44	37	407	
Triangle79	44	45	38	
Triangle80	37	2	48	
Triangle81	49	46	42	
Triangle82	45	407	408	
Triangle83	2	47	50	
Triangle84	37	48	49	
Triangle85	46	36	42	
Triangle86	46	49	48	
Triangle87	47	48	50	
Triangle88	48	2	50	
Triangle89	56	9	16	
Triangle90	421	13	121	
Triangle91	108	130	124	
Triangle92	405	32	53	
Triangle93	20	61	13	
Triangle94	28	29	57	
Triangle95	421	58	53	
Triangle96	62	65	54	
Triangle97	54	55	29	
Triangle98	6	64	34	
Triangle99	51	14	19	
Triangle100	14	51	20	
Triangle101	6	25	64	
Triangle102	403	34	404	
Triangle103	58	52	63	
Triangle104	113	62	63	
Triangle105	157	297	133	
