Triangle0	410	313	329	
Triangle1	68	70	64	
Triangle2	-1	94	143	
Triangle3	157	188	403	
Triangle4	797	18	-1	
Triangle5	66	-1	79	
Triangle6	7	227	28	
Triangle7	6	27	-1	
Triangle8	52	104	49	
Triangle9	36	771	62	
Triangle10	90	205	113	
Triangle11	30	22	107	
Triangle12	796	89	20	
Triangle13	23	20	109	
Triangle14	16	34	65	
Triangle15	56	769	115	
Triangle16	14	19	45	
Triangle17	41	124	47	
Triangle18	22	795	4	
Triangle19	16	731	794	
Triangle20	13	40	12	
Triangle21	227	720	793	
Triangle22	18	11	26	
Triangle23	107	13	24	
Triangle24	30	23	99	
Triangle25	63	64	69	
Triangle26	44	22	35	
Triangle27	89	7	65	
Triangle28	6	793	731	
Triangle29	90	32	110	
Triangle30	24	61	11	
Triangle31	260	250	719	
Triangle32	108	29	45	
Triangle33	34	93	109	
Triangle34	14	33	89	
Triangle35	61	43	26	
Triangle36	55	9	51	
Triangle37	64	73	-1	
Triangle38	85	72	-1	
Triangle39	43	124	74	
Triangle40	797	796	20	
Triangle41	115	48	17	
Triangle42	44	74	69	
Triangle43	35	54	39	
Triangle44	26	42	70	
Triangle45	93	16	32	
Triangle46	92	55	255	
Triangle47	62	17	54	
Triangle48	41	102	98	
Triangle49	50	8	96	
Triangle50	123	56	49	
Triangle51	61	36	54	
Triangle52	8	116	103	
Triangle53	73	63	77	
Triangle54	43	51	47	
Triangle55	46	36	99	
Triangle56	50	15	116	
Triangle57	120	117	111	
Triangle58	208	244	114	
Triangle59	160	111	244	
Triangle60	116	771	770	
Triangle61	30	51	35	
Triangle62	47	9	115	
Triangle63	775	53	25	
Triangle64	25	37	1	
Triangle65	14	27	731	
Triangle66	75	101	5	
Triangle67	75	79	71	
Triangle68	795	1	-1	
Triangle69	25	42	71	
Triangle70	44	1	795	
Triangle71	67	775	69	
Triangle72	38	86	87	
Triangle73	53	85	37	
Triangle74	42	39	75	
Triangle75	74	66	67	
Triangle76	79	78	82	
Triangle77	81	53	774	
Triangle78	776	76	-1	
Triangle79	67	5	76	
Triangle80	88	84	-1	
Triangle81	85	77	86	
Triangle82	776	775	76	
Triangle83	87	88	-1	
Triangle84	86	774	80	
Triangle85	73	81	38	
Triangle86	84	72	81	
Triangle87	88	83	72	
Triangle88	83	87	80	
Triangle89	34	12	27	
Triangle90	29	10	229	
Triangle91	248	235	203	
Triangle92	46	770	771	
Triangle93	45	229	33	
Triangle94	2	118	123	
Triangle95	770	792	113	
Triangle96	213	49	114	
Triangle97	143	123	213	
Triangle98	48	-1	101	
Triangle99	55	24	100	
Triangle100	109	255	99	
Triangle101	124	98	66	
Triangle102	48	769	119	
Triangle103	141	52	113	
Triangle104	8	214	114	
Triangle105	298	135	287	
Triangle106	182	127	232	
Triangle107	23	11	797	
Triangle108	794	247	32	
Triangle109	33	100	13	
Triangle110	230	29	203	
Triangle111	406	57	59	
Triangle112	213	244	117	
Triangle113	95	10	103	
Triangle114	96	104	58	
Triangle115	41	62	15	
Triangle116	56	60	52	
Triangle117	112	57	773	
Triangle118	94	119	769	
Triangle119	102	118	-1	
Triangle120	156	772	57	
Triangle121	238	531	532	
Triangle122	145	279	406	
Triangle123	94	50	97	
Triangle124	101	39	17	
Triangle125	162	194	169	
Triangle126	412	380	392	
Triangle127	231	106	535	
Triangle128	166	344	162	
Triangle129	242	225	532	
Triangle130	375	336	664	
Triangle131	-1	526	315	
Triangle132	228	301	332	
Triangle133	384	221	366	
Triangle134	137	288	301	
Triangle135	105	294	253	
Triangle136	524	734	569	
Triangle137	134	298	323	
Triangle138	274	355	313	
Triangle139	243	239	194	
Triangle140	339	190	365	
Triangle141	214	103	205	
Triangle142	278	224	218	
Triangle143	2	97	773	
Triangle144	477	461	500	
Triangle145	122	160	231	
Triangle146	574	521	252	
Triangle147	534	195	535	
Triangle148	282	302	218	
Triangle149	538	539	409	
Triangle150	200	173	369	
Triangle151	167	541	164	
Triangle152	410	369	342	
Triangle153	612	641	651	
Triangle154	401	424	176	
Triangle155	660	168	183	
Triangle156	245	120	159	
Triangle157	400	3	241	
Triangle158	580	281	622	
Triangle159	406	187	156	
Triangle160	59	211	145	
Triangle161	473	346	446	
Triangle162	128	125	174	
Triangle163	216	232	231	
Triangle164	409	151	276	
Triangle165	258	701	723	
Triangle166	661	198	128	
Triangle167	151	344	197	
Triangle168	495	459	155	
Triangle169	125	239	272	
Triangle170	476	660	407	
Triangle171	435	342	371	
Triangle172	336	581	356	
Triangle173	318	150	577	
Triangle174	162	777	314	
Triangle175	458	337	493	
Triangle176	335	428	154	
Triangle177	312	293	263	
Triangle178	330	270	354	
Triangle179	332	288	355	
Triangle180	564	362	318	
Triangle181	264	320	401	
Triangle182	532	534	106	
Triangle183	272	155	-1	
Triangle184	477	484	467	
Triangle185	188	263	218	
Triangle186	429	469	450	
Triangle187	280	159	223	
Triangle188	312	185	3	
Triangle189	543	616	450	
Triangle190	276	408	140	
Triangle191	755	745	367	
Triangle192	309	356	592	
Triangle193	546	275	310	
Triangle194	125	539	139	
Triangle195	536	147	198	
Triangle196	745	364	286	
Triangle197	404	540	167	
Triangle198	166	195	404	
Triangle199	234	233	289	
Triangle200	329	402	150	
Triangle201	561	548	556	
Triangle202	214	206	208	
Triangle203	251	91	110	
Triangle204	206	230	235	
Triangle205	10	230	141	
Triangle206	204	207	202	
Triangle207	212	206	215	
Triangle208	211	58	202	
Triangle209	216	215	210	
Triangle210	209	234	242	
Triangle211	212	160	208	
Triangle212	207	216	211	
Triangle213	97	96	112	
Triangle214	104	141	202	
Triangle215	207	233	209	
Triangle216	209	163	212	
Triangle217	537	220	280	
Triangle218	142	148	185	
Triangle219	-1	601	603	
Triangle220	-1	217	314	
Triangle221	222	295	133	
Triangle222	407	221	322	
Triangle223	279	536	187	
Triangle224	142	283	282	
Triangle225	257	383	129	
Triangle226	616	550	417	
Triangle227	6	703	21	
Triangle228	132	278	263	
Triangle229	792	93	90	
Triangle230	110	204	205	
Triangle231	127	145	163	
Triangle232	163	242	106	
Triangle233	215	235	199	
Triangle234	199	259	210	
Triangle235	233	204	91	
Triangle236	260	289	248	
Triangle237	700	260	701	
Triangle238	383	540	121	
Triangle239	139	660	169	
Triangle240	777	533	-1	
Triangle241	541	540	157	
Triangle242	232	210	129	
Triangle243	139	538	407	
Triangle244	58	59	112	
Triangle245	280	-1	156	
Triangle246	764	763	704	
Triangle247	256	251	108	
Triangle248	250	236	91	
Triangle249	362	546	306	
Triangle250	31	248	251	
Triangle251	250	203	247	
Triangle252	591	650	146	
Triangle253	321	135	324	
Triangle254	334	668	325	
Triangle255	100	792	46	
Triangle256	732	290	247	
Triangle257	259	304	225	
Triangle258	699	165	327	
Triangle259	324	257	234	
Triangle260	31	237	236	
Triangle261	363	651	650	
Triangle262	317	266	323	
Triangle263	228	185	177	
Triangle264	428	269	181	
Triangle265	521	520	405	
Triangle266	669	668	262	
Triangle267	432	388	422	
Triangle268	572	423	420	
Triangle269	264	285	283	
Triangle270	387	178	414	
Triangle271	274	320	332	
Triangle272	183	533	169	
Triangle273	308	316	552	
Triangle274	271	138	401	
Triangle275	193	363	559	
Triangle276	190	164	302	
Triangle277	444	455	463	
Triangle278	228	320	142	
Triangle279	223	122	535	
Triangle280	187	217	245	
Triangle281	526	-1	158	
Triangle282	408	148	224	
Triangle283	349	224	269	
Triangle284	560	318	664	
Triangle285	442	377	269	
Triangle286	350	391	196	
Triangle287	105	699	698	
Triangle288	134	668	179	
Triangle289	307	199	236	
Triangle290	724	719	256	
Triangle291	552	558	544	
Triangle292	705	644	-1	
Triangle293	311	177	294	
Triangle294	304	135	293	
Triangle295	221	538	339	
Triangle296	348	331	765	
Triangle297	653	309	649	
Triangle298	105	137	311	
Triangle299	435	388	410	
Triangle300	411	416	306	
Triangle301	132	311	134	
Triangle302	148	276	403	
Triangle303	400	304	312	
Triangle304	257	294	303	
Triangle305	390	416	397	
Triangle306	249	300	390	
Triangle307	324	289	700	
Triangle308	405	522	273	
Triangle309	612	297	192	
Triangle310	544	411	193	
Triangle311	298	301	293	
Triangle312	188	303	177	
Triangle313	0	424	138	
Triangle314	661	174	220	
Triangle315	573	131	521	
Triangle316	556	273	600	
Triangle317	665	262	523	
Triangle318	284	180	173	
Triangle319	439	430	418	
Triangle320	278	271	181	
Triangle321	699	253	700	
Triangle322	222	384	458	
Triangle323	262	137	341	
Triangle324	259	307	253	
Triangle325	402	254	667	
Triangle326	730	643	581	
Triangle327	718	331	258	
Triangle328	530	419	550	
Triangle329	0	334	200	
Triangle330	412	178	377	
Triangle331	327	296	698	
Triangle332	271	132	179	
Triangle333	362	373	369	
Triangle334	329	355	254	
Triangle335	176	432	358	
Triangle336	653	130	172	
Triangle337	489	488	175	
Triangle338	368	394	378	
Triangle339	140	295	409	
Triangle340	616	586	585	
Triangle341	523	323	698	
Triangle342	152	398	171	
Triangle343	712	596	714	
Triangle344	539	128	167	
Triangle345	451	443	-1	
Triangle346	161	437	381	
Triangle347	387	351	479	
Triangle348	296	730	523	
Triangle349	386	283	377	
Triangle350	385	371	286	
Triangle351	426	456	347	
Triangle352	429	452	448	
Triangle353	427	549	374	
Triangle354	386	178	365	
Triangle355	138	179	334	
Triangle356	172	646	192	
Triangle357	371	397	391	
Triangle358	380	335	393	
Triangle359	425	423	433	
Triangle360	385	364	486	
Triangle361	564	652	363	
Triangle362	249	333	180	
Triangle363	275	361	261	
Triangle364	360	196	749	
Triangle365	366	140	354	
Triangle366	133	365	387	
Triangle367	427	529	191	
Triangle368	396	411	338	
Triangle369	333	152	150	
Triangle370	399	463	446	
Triangle371	171	357	350	
Triangle372	486	418	415	
Triangle373	398	333	390	
Triangle374	353	585	529	
Triangle375	665	130	669	
Triangle376	427	391	436	
Triangle377	349	285	330	
Triangle378	338	551	549	
Triangle379	754	760	605	
Triangle380	126	442	358	
Triangle381	447	392	346	
Triangle382	736	740	707	
Triangle383	400	238	225	
Triangle384	322	133	479	
Triangle385	350	360	415	
Triangle386	349	354	408	
Triangle387	366	270	347	
Triangle388	267	424	299	
Triangle389	441	613	429	
Triangle390	305	373	306	
Triangle391	286	357	376	
Triangle392	399	381	126	
Triangle393	430	399	358	
Triangle394	544	547	338	
Triangle395	743	466	750	
Triangle396	368	436	416	
Triangle397	305	357	398	
Triangle398	342	373	397	
Triangle399	392	393	370	
Triangle400	157	383	303	
Triangle401	154	181	274	
Triangle402	325	577	200	
Triangle403	541	3	302	
Triangle404	531	197	198	
Triangle405	308	591	265	
Triangle406	159	111	122	
Triangle407	170	243	222	
Triangle408	386	190	282	
Triangle409	149	164	339	
Triangle410	0	152	299	
Triangle411	310	368	300	
Triangle412	330	126	447	
Triangle413	-1	610	762	
Triangle414	447	437	270	
Triangle415	385	372	422	
Triangle416	396	305	300	
Triangle417	226	465	441	
Triangle418	372	319	432	
Triangle419	328	608	465	
Triangle420	752	576	268	
Triangle421	741	750	766	
Triangle422	415	267	435	
Triangle423	451	359	268	
Triangle424	313	388	154	
Triangle425	752	359	753	
Triangle426	457	351	437	
Triangle427	367	376	353	
Triangle428	442	264	176	
Triangle429	389	352	186	
Triangle430	393	319	444	
Triangle431	604	527	438	
Triangle432	267	418	335	
Triangle433	753	359	-1	
Triangle434	506	507	513	
Triangle435	422	299	171	
Triangle436	396	549	376	
Triangle437	414	346	426	
Triangle438	614	583	431	
Triangle439	737	319	742	
Triangle440	583	582	584	
Triangle441	450	417	389	
Triangle442	428	380	285	
Triangle443	448	452	345	
Triangle444	737	277	430	
Triangle445	584	553	618	
Triangle446	161	370	462	
Triangle447	414	412	381	
Triangle448	443	588	352	
Triangle449	742	766	750	
Triangle450	186	189	441	
Triangle451	423	588	345	
Triangle452	672	443	352	
Triangle453	472	482	-1	
Triangle454	492	478	503	
Triangle455	786	744	277	
Triangle456	351	747	489	
Triangle457	475	426	473	
Triangle458	476	322	175	
Triangle459	168	491	474	
Triangle460	462	463	468	
Triangle461	462	144	518	
Triangle462	446	460	461	
Triangle463	460	370	277	
Triangle464	502	481	475	
Triangle465	419	670	417	
Triangle466	395	785	784	
Triangle467	788	184	-1	
